modul,einheit,zyklus,domaene,kennzahl,wert,art,quelle,hinweis
M302,Korea,2025,sci,P25,458.5,OFFICIAL_STATLINK,Figure I.2.1,
M302,Korea,2025,sci,P50,534.2,OFFICIAL_STATLINK,Figure I.2.1,
M302,Korea,2025,sci,P75,599.2,OFFICIAL_STATLINK,Figure I.2.1,
M302,Korea,2025,sci,P90,653.8,OFFICIAL_STATLINK,Figure I.2.1,
M302/M301,Korea,2025,sci,P90−P10,269.7,DERIVED_OFFICIAL,"Figure I.2.1, Differenz",
M302/M301,Korea,2025,sci,unter Stufe 2 (%),14.2,DERIVED_OFFICIAL,"Figure I.2.3, Summe Stufen <1b–1a",
M302/M301,Korea,2025,sci,Stufe 5–6 (%),14.7,DERIVED_OFFICIAL,"Figure I.2.3, Summe Stufen 5–6",
M302,Korea,2022→2025,sci,Veränderung (n. s.),-1.7,OFFICIAL_STATLINK,Table I.2.6,
M302,Korea,2022→2025,read,Veränderung (sig.),-14.9,OFFICIAL_STATLINK,Table I.2.6,
M302,Korea,2022→2025,math,Veränderung (n. s.),-5.0,OFFICIAL_STATLINK,Table I.2.6,
M302,Korea,10 Jahre,sci,Dezennaltrend (sig.),11.9,OFFICIAL_STATLINK,Table I.2.9,
M302,Korea,10 Jahre,read,Dezennaltrend (sig.),-14.1,OFFICIAL_STATLINK,Table I.2.9,
M302,Korea,10 Jahre,math,Dezennaltrend (n. s.),-1.1,OFFICIAL_STATLINK,Table I.2.9,
M302/M301,United Kingdom,2025,sci,Mittelwert,511.4,OFFICIAL_STATLINK,StatLink xgs41b Table I.2.o3–o6,
M302/M301,United Kingdom,2025,sci,SE (aus 95-%-KI),2.04,DERIVED_CI,"KI-Breite/(2·1,96)",
M302,United Kingdom,2025,sci,Rangspanne (alle),8–14,OFFICIAL_STATLINK,Table I.2.o3–o6,
M302/M301,United Kingdom,2025,read,Mittelwert,494.2,OFFICIAL_STATLINK,StatLink xgs41b Table I.2.o3–o6,
M302/M301,United Kingdom,2025,read,SE (aus 95-%-KI),2.04,DERIVED_CI,"KI-Breite/(2·1,96)",
M302,United Kingdom,2025,read,Rangspanne (alle),4–13,OFFICIAL_STATLINK,Table I.2.o3–o6,
M302/M301,United Kingdom,2025,math,Mittelwert,487.6,OFFICIAL_STATLINK,StatLink xgs41b Table I.2.o3–o6,
M302/M301,United Kingdom,2025,math,SE (aus 95-%-KI),2.3,DERIVED_CI,"KI-Breite/(2·1,96)",
M302,United Kingdom,2025,math,Rangspanne (alle),10–18,OFFICIAL_STATLINK,Table I.2.o3–o6,
M302/M301,United Kingdom,2025,cps,Mittelwert,522.6,OFFICIAL_STATLINK,StatLink xgs41b Table I.2.o3–o6,
M302/M301,United Kingdom,2025,cps,SE (aus 95-%-KI),1.79,DERIVED_CI,"KI-Breite/(2·1,96)",
M302,United Kingdom,2025,cps,Rangspanne (alle),11–15,OFFICIAL_STATLINK,Table I.2.o3–o6,
M302,United Kingdom,2025,sci,P10,373.8,OFFICIAL_STATLINK,Figure I.2.1,
M302,United Kingdom,2025,sci,P25,437.9,OFFICIAL_STATLINK,Figure I.2.1,
M302,United Kingdom,2025,sci,P50,512.1,OFFICIAL_STATLINK,Figure I.2.1,
M302,United Kingdom,2025,sci,P75,585.4,OFFICIAL_STATLINK,Figure I.2.1,
M302,United Kingdom,2025,sci,P90,646.5,OFFICIAL_STATLINK,Figure I.2.1,
M302/M301,United Kingdom,2025,sci,P90−P10,272.7,DERIVED_OFFICIAL,"Figure I.2.1, Differenz",
M302/M301,United Kingdom,2025,sci,unter Stufe 2 (%),17.4,DERIVED_OFFICIAL,"Figure I.2.3, Summe Stufen <1b–1a",
M302/M301,United Kingdom,2025,sci,Stufe 5–6 (%),12.6,DERIVED_OFFICIAL,"Figure I.2.3, Summe Stufen 5–6",
M302,United Kingdom,2022→2025,sci,Veränderung (sig.),11.7,OFFICIAL_STATLINK,Table I.2.6,
M302,United Kingdom,2022→2025,read,Veränderung (n. s.),-0.2,OFFICIAL_STATLINK,Table I.2.6,
M302,United Kingdom,2022→2025,math,Veränderung (n. s.),-1.4,OFFICIAL_STATLINK,Table I.2.6,
M302,United Kingdom,10 Jahre,sci,Dezennaltrend (n. s.),0.1,OFFICIAL_STATLINK,Table I.2.9,
M302,United Kingdom,10 Jahre,read,Dezennaltrend (n. s.),-6.5,OFFICIAL_STATLINK,Table I.2.9,
M302,United Kingdom,10 Jahre,math,Dezennaltrend (sig.),-8.6,OFFICIAL_STATLINK,Table I.2.9,
M302/M301,Canada,2025,sci,Mittelwert,510.1,OFFICIAL_STATLINK,StatLink xgs41b Table I.2.o3–o6,
M302/M301,Canada,2025,sci,SE (aus 95-%-KI),1.79,DERIVED_CI,"KI-Breite/(2·1,96)",
M302,Canada,2025,sci,Rangspanne (alle),8–14,OFFICIAL_STATLINK,Table I.2.o3–o6,
M302/M301,Canada,2025,read,Mittelwert,489.8,OFFICIAL_STATLINK,StatLink xgs41b Table I.2.o3–o6,
M302/M301,Canada,2025,read,SE (aus 95-%-KI),1.79,DERIVED_CI,"KI-Breite/(2·1,96)",
M302,Canada,2025,read,Rangspanne (alle),6–15,OFFICIAL_STATLINK,Table I.2.o3–o6,
M302/M301,Canada,2025,math,Mittelwert,485.3,OFFICIAL_STATLINK,StatLink xgs41b Table I.2.o3–o6,
M302/M301,Canada,2025,math,SE (aus 95-%-KI),1.79,DERIVED_CI,"KI-Breite/(2·1,96)",
M302,Canada,2025,math,Rangspanne (alle),10–19,OFFICIAL_STATLINK,Table I.2.o3–o6,
M302/M301,Canada,2025,cps,Mittelwert,524.9,OFFICIAL_STATLINK,StatLink xgs41b Table I.2.o3–o6,
M302/M301,Canada,2025,cps,SE (aus 95-%-KI),1.53,DERIVED_CI,"KI-Breite/(2·1,96)",
M302,Canada,2025,cps,Rangspanne (alle),9–15,OFFICIAL_STATLINK,Table I.2.o3–o6,
M302,Canada,2025,sci,P10,378.6,OFFICIAL_STATLINK,Figure I.2.1,
M302,Canada,2025,sci,P25,442.1,OFFICIAL_STATLINK,Figure I.2.1,
M302,Canada,2025,sci,P50,512.5,OFFICIAL_STATLINK,Figure I.2.1,
M302,Canada,2025,sci,P75,580.0,OFFICIAL_STATLINK,Figure I.2.1,
M302,Canada,2025,sci,P90,636.3,OFFICIAL_STATLINK,Figure I.2.1,
M302/M301,Canada,2025,sci,P90−P10,257.6,DERIVED_OFFICIAL,"Figure I.2.1, Differenz",
M302/M301,Canada,2025,sci,unter Stufe 2 (%),16.3,DERIVED_OFFICIAL,"Figure I.2.3, Summe Stufen <1b–1a",
M302/M301,Canada,2025,sci,Stufe 5–6 (%),10.6,DERIVED_OFFICIAL,"Figure I.2.3, Summe Stufen 5–6",
M302,Canada,2022→2025,sci,Veränderung (n. s.),-5.0,OFFICIAL_STATLINK,Table I.2.6,
M302,Canada,2022→2025,read,Veränderung (sig.),-17.3,OFFICIAL_STATLINK,Table I.2.6,
M302,Canada,2022→2025,math,Veränderung (sig.),-11.6,OFFICIAL_STATLINK,Table I.2.6,
M302,Canada,10 Jahre,sci,Dezennaltrend (sig.),-16.2,OFFICIAL_STATLINK,Table I.2.9,
M302,Canada,10 Jahre,read,Dezennaltrend (sig.),-36.2,OFFICIAL_STATLINK,Table I.2.9,
M302,Canada,10 Jahre,math,Dezennaltrend (sig.),-31.3,OFFICIAL_STATLINK,Table I.2.9,
M302/M301,New Zealand,2025,sci,Mittelwert,509.4,OFFICIAL_STATLINK,StatLink xgs41b Table I.2.o3–o6,
M302/M301,New Zealand,2025,sci,SE (aus 95-%-KI),2.3,DERIVED_CI,"KI-Breite/(2·1,96)",
M302,New Zealand,2025,sci,Rangspanne (alle),8–15,OFFICIAL_STATLINK,Table I.2.o3–o6,
M302/M301,New Zealand,2025,read,Mittelwert,497.0,OFFICIAL_STATLINK,StatLink xgs41b Table I.2.o3–o6,
M302/M301,New Zealand,2025,read,SE (aus 95-%-KI),2.55,DERIVED_CI,"KI-Breite/(2·1,96)",
M302,New Zealand,2025,read,Rangspanne (alle),3–13,OFFICIAL_STATLINK,Table I.2.o3–o6,
M302/M301,New Zealand,2025,math,Mittelwert,479.6,OFFICIAL_STATLINK,StatLink xgs41b Table I.2.o3–o6,
M302/M301,New Zealand,2025,math,SE (aus 95-%-KI),2.3,DERIVED_CI,"KI-Breite/(2·1,96)",
M302,New Zealand,2025,math,Rangspanne (alle),10–21,OFFICIAL_STATLINK,Table I.2.o3–o6,
M302/M301,New Zealand,2025,cps,Mittelwert,530.9,OFFICIAL_STATLINK,StatLink xgs41b Table I.2.o3–o6,
M302/M301,New Zealand,2025,cps,SE (aus 95-%-KI),1.53,DERIVED_CI,"KI-Breite/(2·1,96)",
